id,title,artist,genre
1,Comedy,Gen Hoshino,acoustic
2,Ghost - Acoustic,Ben Woodward,acoustic
3,To Begin Again,Ingrid Michaelson;ZAYN,acoustic
5,Hold On,Chord Overstreet,acoustic
6,Days I Will Remember,Tyrone Wells,acoustic
7,Say Something,A Great Big World;Christina Aguilera,acoustic
12,I Won't Give Up,Jason Mraz,acoustic
13,Solo,Dan Berk,acoustic
14,Bad Liar,Anna Hamilton,acoustic
18,At My Worst,Andrew Foy;Renee Foy,acoustic
20,Photograph,Boyce Avenue;Bea Miller,acoustic
22,Demons,Boyce Avenue;Jennel Garcia,acoustic
27,Winter Wonderland,Jason Mraz,acoustic
32,Winter Wonderland,Jason Mraz,acoustic
59,Gravity,Sara Bareilles,acoustic
78,The Long Road,Eddie Vedder;Nusrat Fateh Ali Khan,acoustic
83,Society,Eddie Vedder,acoustic
94,I Heard The Bells On Christmas Day,The Civil Wars,acoustic
98,I Heard The Bells On Christmas Day,The Civil Wars,acoustic
102,Somebody Else - Acoustic,Callum J Wright,acoustic
120,I Was Born To Love You,Ray LaMontagne;Sierra Ferrell,acoustic
123,Do Not Let Me Go,Joshua Hyslop,acoustic
130,"""Something In the Rain"" (Something In the Rain, Pt. 1) [Music from the Original TV Series]",Rachael Yamagata,acoustic
141,I'll Do Anything,Jason Mraz,acoustic
146,"On Love, in Sadness",Jason Mraz,acoustic
148,"Tonight, Not Again - Live",Jason Mraz,acoustic
155,Sympathy,Kitri,acoustic
176,Can You Feel the Love Tonight,Boyce Avenue;Connie Talbot,acoustic
188,I Believe in You,JJ Heller,acoustic
195,Say Something,A Great Big World,acoustic
196,Rise,Eddie Vedder,acoustic
204,Creep,Kina Grannis,acoustic
231,"See You Again, Love Me Like You Do, Sugar - Acoustic Mashup",Megan Davies,acoustic
241,Colors,Amos Lee,acoustic
246,I Do Adore,Mindy Gledhill,acoustic
256,Baby (Acoustic Version),Jonah Baker,acoustic
269,Back For Good,The Mayries,acoustic
280,Can't Help Falling In Love - Piano Version,Kina Grannis,acoustic
298,Front Porch,Joy Williams,acoustic
305,Closer,Boyce Avenue;Sarah Hyland,acoustic
309,Shallow - Acoustic,Tyler Ward;Madysyn,acoustic
313,Call You Mine (Acoustic Piano),Ben Woodward,acoustic
315,Sweet Dream,Greg Laswell,acoustic
331,It Aint Me,Sara Farell,acoustic
359,Stargazing,Isabella Celander,acoustic
